x,y,shade_hours,shade_pct,dist_to_crescent_m,dist_to_edge_m,dist_to_tree_m,trees_within_10m,trees_within_20m,canopy_overhead,under_crescent_walk,under_gridshell,zone,category,albedo,sky_view_factor,summer_heat_index_c,comfort_gain_c,comfort_band,n_summer_hours_sampled
71.5,0.5,55.025000000000006,1.25,40.533872465178696,0.5,15.163823268923661,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
72.5,0.5,66.03,1.5,40.51941460851457,0.5,15.799500214510761,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
73.5,0.5,55.025000000000006,1.25,40.50876988567607,0.5,16.47139574916165,0,4,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.92639317883794,0.09678098495766108,Danger,1058
74.5,0.5,44.02,1.0,40.50097444723649,0.5,17.175259789088358,0,3,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
75.5,0.5,33.015,0.75,40.50097444723649,0.5,17.907323075207263,0,3,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.96511168440199,0.05806247939361242,Danger,1058
76.5,0.5,22.01,0.5,40.50876988567607,0.5,18.664267749285674,0,3,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
77.5,0.5,11.005,0.25,40.51941460851457,0.5,19.44318804913948,0,2,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.00382203791395,0.019352125881653137,Danger,1058
78.5,0.5,0.0,0.0,40.533872465178696,0.5,20.23828410376916,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
79.5,0.5,0.0,0.0,40.5561262946703,0.5,20.992738054137604,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
80.5,0.5,0.0,0.0,40.58617593283699,0.5,21.766992409480892,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
81.5,0.5,0.0,0.0,40.61805993062473,0.5,22.559008535375845,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
82.5,0.5,0.0,0.0,40.654764767948144,0.5,23.36698041347923,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.02317416379564,-4.263256414560601e-14,Danger,1058
83.5,0.5,11.005,0.25,40.69926702154354,0.5,24.189309233392414,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,65.00382203791395,0.019352125881653137,Danger,1058
84.5,0.5,22.01,0.5,40.751566351038626,0.5,25.024579691444277,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.98446787891177,0.03870628488382977,Danger,1058
85.5,0.5,44.02,1.0,40.80454033587452,0.5,25.87153834386751,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
86.5,0.5,44.02,1.0,40.863480746695714,0.5,26.729074129549804,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
87.5,0.5,44.02,1.0,40.93022092619463,0.5,27.59620103144145,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.94575345190286,0.07742071189274213,Danger,1058
88.5,0.5,66.03,1.5,41.00476033376649,0.5,28.472042759740507,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
89.5,0.5,66.03,1.5,41.078579507388966,0.5,29.355819294600746,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.90703086253535,0.11614330126025152,Danger,1058
90.5,0.5,77.03500000000001,1.7500000000000002,41.159739598160634,0.5,30.24683510719783,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.88766650022696,0.13550766356864585,Danger,1058
91.5,0.5,88.04,2.0,41.2487027106883,0.5,31.144468875657147,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
92.5,0.5,88.04,2.0,41.3442451218693,0.5,32.048164519852584,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
93.5,0.5,99.045,2.25,41.43979791976619,0.5,32.95742339195071,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
94.5,0.5,110.05000000000001,2.5,41.5431581570274,0.5,33.871797474906195,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
95.5,0.5,110.05000000000001,2.5,41.65432554789859,0.5,34.79088345710444,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
96.5,0.5,110.05000000000001,2.5,41.76999753537809,0.5,35.71431756691684,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
97.5,0.5,121.055,2.75,41.8877230266987,0.5,35.84930663255179,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
98.5,0.5,121.055,2.75,42.013261255760526,0.5,35.888820166547525,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
99.5,0.5,121.055,2.75,42.14661160726039,0.5,35.95611269115246,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
100.5,0.5,121.055,2.75,42.281927771996116,0.5,36.05102865066297,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
101.5,0.5,121.055,2.75,42.421801457029495,0.5,36.17335060072524,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
102.5,0.5,132.06,3.0,42.569494013556,0.5,36.32280166224869,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.79081389496349,0.23236026883211025,Danger,1058
